id,label,obsolete,ordering
"documentCreated","documentCreated","0","0"
"documentSecurityUpdated","documentSecurityUpdated","0","10"
"documentModified","documentModified","0","30"
"documentTrashed","documentTrashed","0","35"
"documentRemoved","documentRemoved","0","40"
"documentUntrashed","documentUntrashed","0","45"
"documentCreatedByCopy","documentCreatedByCopy","0","50"
"documentDuplicated","documentDuplicated","0","60"
"documentImported","documentImported","0","70"
"documentLocked","documentLocked","0","80"
"documentUnlocked","documentUnlocked","0","90"
"documentPublished","documentPublished","0","100"
"documentProxyPublished","documentProxyPublished","0","110"
"documentProxyUpdated","documentProxyUpdated","0","120"
"documentRestored","documentRestored","0","130"
"documentCheckedOut","documentCheckedOut","0","140"
"documentCheckedIn","documentCheckedIn","0","150"
"loginSuccess","loginSuccess","0","200"
"loginFailed","loginFailed","0","210"
"logout","logout","0","220"
"workflowStarted","workflowStarted","0","230"
"workflowTaskAssigned","workflowTaskAssigned","0","240"
"workflowTaskEnded","workflowTaskEnded","0","250"
"workflowNewProcessStarted","workflowNewProcessStarted","0","260"
"workflowAbandoned","workflowAbandoned","0","270"
"workflowTaskCompleted","workflowTaskCompleted","0","280"
"workflowTaskRejected","workflowTaskRejected","0","290"
"workflowProcessEnded","workflowProcessEnded","0","300"
"workflowEnded","workflowEnded","0","310"
"afterRelationCreation","afterRelationCreation","0","320"
"documentPublicationApproved","documentPublicationApproved","0","330"
"Cancelation event","Cancelation event","0","340"
"documentMoved","documentMoved","0","350"
"afterRelationRemoval","afterRelationRemoval","0","360"
"versionRemoved","versionRemoved","0","370"
"annotationDeleted","annotationDeleted","0","380"
"lifecycle_transition_event","lifecycle_transition_event","0","390"
"annotationCreated","annotationCreated","0","400"
"documentWaitingPublication","documentWaitingPublication","0","410"

